FIPS,Income,Education,Black,Hispanic,Rurality
2195,68449.0,0.9059205191,0.0218850306,0.0519404727,1.0
2198,57304.0,0.9245973646,0.0079002809,0.0424859551,1.0
2220,89264.0,0.9564005901,0.011591403,0.0728085004,0.0934026957
2230,79412.0,0.9373795761,0.0191780822,0.0703196347,1.0
2240,79014.0,0.9302524604,0.021760633,0.0604776035,1.0
2275,65011.0,0.902310231,0.0101744186,0.0436046512,1.0
2282,77108.0,0.9221105528,0.0218340611,0.0669577875,1.0
2290,49498.0,0.8663409026,0.0093585494,0.0241762527,1.0
4001,43121.0,0.8492218586,0.0063657051,0.0662863645,1.0
4003,53011.0,0.8921789399,0.0368741977,0.3479139923,0.3676771864
4005,71528.0,0.9197451938,0.0123484135,0.156293261,0.3240432526
4007,55804.0,0.8963317384,0.006388534,0.1828231765,0.4435726085
4009,66469.0,0.8423814329,0.0150031626,0.3097533207,0.5242778917
4011,71273.0,0.8809286899,0.0159035116,0.4688867542,1.0
4012,48801.0,0.8254891592,0.0098743268,0.252962298,0.4341970164
4013,86973.0,0.8949630015,0.0608043706,0.3140589868,0.0230465859
4015,56302.0,0.8816610998,0.0128933039,0.1763038599,0.2393244149
4017,51011.0,0.8599339916,0.0086649874,0.110977788,0.6425311806
4019,69553.0,0.8994586341,0.0378437153,0.3662743778,0.0884196685
4021,77290.0,0.8912605148,0.0578474679,0.3016960633,0.2303204598
4023,52400.0,0.7770678253,0.0056959193,0.8210667643,0.5978938094
4025,67317.0,0.924968317,0.0082061659,0.156920841,0.3198057652
4027,61225.0,0.7663753351,0.0189146472,0.6522762767,0.1510047528
5001,50198.0,0.8748281787,0.249708714,0.0431103207,0.5258032538
5003,49560.0,0.8782955242,0.2356806483,0.0658744935,0.623124541
5005,48804.0,0.8940199645,0.0054577259,0.0303906706,0.5728013068
5007,92632.0,0.90574767,0.0200377476,0.1871015038,0.2400424854
5009,56154.0,0.9072498683,0.0054762523,0.0335842201,0.6267358788
5011,44525.0,0.8726197346,0.2754354711,0.1645882819,0.4994784258
5013,57689.0,0.8668044891,0.2102995044,0.0293040293,1.0
5015,53986.0,0.8399941012,0.0067328382,0.1596446172,0.821054494
5017,40381.0,0.8155367637,0.5239043825,0.0666806458,1.0
5019,53561.0,0.8996525814,0.2255805208,0.0589451913,0.5297025086
5021,47663.0,0.8664783794,0.0090134498,0.0254911626,1.0
5023,56692.0,0.8826926162,0.0064452741,0.0305757516,0.7271255716
5025,54458.0,0.916434022,0.1074817024,0.0277853077,1.0
5027,44175.0,0.8846372285,0.3491196388,0.0355756208,0.5437480812
5029,53863.0,0.9012828428,0.1141528681,0.0502917873,0.6939415882
5031,60204.0,0.9025407184,0.1808619828,0.0647145,0.336686715
5033,63905.0,0.8663219196,0.0173369311,0.0896414664,0.4940881047
5035,52153.0,0.852889955,0.5566940325,0.0344937313,0.1837510122
5037,47669.0,0.8341186736,0.2280146163,0.0228989038,0.5506445672
5039,46701.0,0.8901935203,0.3962813258,0.0417138238,1.0
5041,43469.0,0.7788884446,0.4707510259,0.0748162993,0.6219394471
5043,48746.0,0.871353027,0.2673945117,0.0494541163,0.5404034582
5045,68543.0,0.9368387508,0.124339174,0.0575216812,0.460566163
5047,54077.0,0.8707010582,0.0094458438,0.0356652164,1.0
5049,46346.0,0.8772889683,0.010063602,0.0216568714,1.0
5051,53849.0,0.9089463003,0.0837108154,0.0758839092,0.3378418846
5053,64306.0,0.9111058713,0.0320404722,0.030027743,0.7377213498
5055,55444.0,0.8739794448,0.0248379436,0.0388293434,0.4514386916
5057,50576.0,0.8343159486,0.2928191077,0.1564907202,0.5586842761
5059,53767.0,0.8939646549,0.1115220398,0.0428769018,0.7320823245
5061,47308.0,0.8938421303,0.2053778026,0.1256682359,1.0
5063,59695.0,0.8749359303,0.0237995825,0.0901617954,0.71234646
5065,47320.0,0.8477123561,0.027383725,0.0307008257,1.0
5067,45762.0,0.8377046442,0.1776692088,0.0350333651,0.6450611758
5069,49581.0,0.8856704265,0.5729410471,0.0280862695,0.3059322034
5071,50387.0,0.8390300231,0.0178728616,0.1406100501,0.6964542312
5073,43824.0,0.816240267,0.3360131255,0.0421657096,1.0
5075,49015.0,0.8238469985,0.0136046084,0.0230420395,0.5966946226
5077,36735.0,0.8258064516,0.5361541275,0.0340202414,1.0
5079,53381.0,0.8325681053,0.3045433401,0.0521786323,1.0
5081,48837.0,0.9101336171,0.191613723,0.0415925455,1.0
5083,51290.0,0.8928994083,0.0137850467,0.0380841121,1.0
5085,74687.0,0.9021105608,0.065245444,0.0568576846,0.5193676957
5087,52262.0,0.8577398863,0.0055133615,0.0706610408,1.0
5089,49975.0,0.8631231277,0.0064519813,0.0292337559,1.0
5091,50421.0,0.8691766825,0.2584227278,0.042697159,0.3990610329
5093,49484.0,0.8560959617,0.3564907017,0.0506685979,0.4563844169
5095,40631.0,0.8343195266,0.3972665848,0.0328624079,1.0
5097,48991.0,0.8758069474,0.006612529,0.0503480278,1.0
5099,45562.0,0.9011420414,0.2981527094,0.0498768473,1.0
5101,46307.0,0.8544097953,0.0050912176,0.0152736529,1.0
5103,49690.0,0.8887682779,0.3965493507,0.02748589,0.5641059603
5105,57996.0,0.9169660127,0.0231736057,0.038197172,1.0
5107,37338.0,0.8263995399,0.6195441481,0.0219236682,0.4809874457
5109,53108.0,0.8711042166,0.0353644201,0.081700627,1.0
5111,51635.0,0.8234228405,0.0847434924,0.0381747555,0.6850424559
5113,47766.0,0.8738279808,0.0064828154,0.0712080675,0.7120857396
5115,59016.0,0.8597831325,0.030839255,0.1146254238,0.5588583329
5117,54962.0,0.859238031,0.1034096565,0.025136884,1.0
5119,61344.0,0.9196168817,0.3790564712,0.0833556245,0.1136160351
5121,51480.0,0.860530641,0.0125879304,0.027820384,0.6142372516
5123,41708.0,0.8568419748,0.5332790371,0.0395457219,0.6294066696
5125,77844.0,0.9265011421,0.0987543797,0.0742510071,0.3676184611
5127,46026.0,0.8458309207,0.0108618414,0.0809054918,1.0
5129,40688.0,0.8004179728,0.0069177556,0.0225467589,1.0
5131,58112.0,0.8517927181,0.0660970735,0.1636121396,0.1967464534
5133,52845.0,0.7253594499,0.0383828045,0.3577917093,0.627880548
5135,45258.0,0.8535801114,0.0122439893,0.0260463045,1.0
5137,43767.0,0.8600656455,0.0063136295,0.0231236682,1.0
